#{"t_start": 1777964840.404338, "env_id": "None"}
r,l,t
1886.367244,500,1296.629994
2056.533503,500,1299.926805
1394.661581,493,1301.345035
1361.681198,428,1302.743229
1883.163903,500,1304.330937
1388.798303,366,1307.082715
1974.622774,500,1308.58139
1318.27911,483,1316.374544
1814.77161,500,1317.98286
1764.036553,500,1321.296129
1828.251425,500,1323.002427
576.264356,461,1324.381835
703.587834,250,1325.085651
520.189094,500,1326.722646
1116.772368,500,1329.915699
1185.06037,370,1330.946327
1527.334506,494,1332.523492
750.660447,271,1333.265098
35.471913,43,1333.394397
1410.364478,500,1335.061467
2223.188118,500,1338.315221
1824.388495,500,1339.806279
684.155688,215,1340.530478
1444.479321,472,1341.942072
1759.103578,500,1343.455904
1476.454244,500,1346.86197
1119.067962,385,1348.130577
1936.357933,500,1349.40724
504.730262,179,1350.045832
1130.998846,500,1351.373493
1798.849036,453,1354.730479
948.951758,500,1356.150748
536.312361,199,1356.738149
1609.524604,500,1358.210084
1605.15507,500,1361.27831
1652.203805,486,1362.859364
721.870051,310,1363.784681
1015.240244,312,1364.779706
1918.877988,500,1366.5605
740.121651,219,1367.19975
1493.390165,500,1370.433677
1089.267954,481,1371.926586
644.178942,244,1372.721422
373.084043,142,1373.106424
922.588616,296,1374.078429
1276.822735,500,1375.319381
1380.553151,500,1378.696039
878.867071,269,1379.503546
1664.091744,428,1380.976737
1157.099821,366,1382.133557
967.364466,395,1383.325138
1724.318691,500,1386.707329
1321.959398,335,1387.832201
1792.948167,500,1389.430165
1589.240144,500,1391.150822
581.533186,195,1391.79986
237.879869,99,1392.146502
439.82781,191,1394.465496
1521.904154,500,1396.080077
1793.261092,500,1397.538928
-31.132416,37,1397.652578
1821.652051,500,1399.369442
366.751868,132,1399.790509
852.129721,256,1402.387748
1885.710421,500,1404.051547
471.535969,252,1404.743848
2169.966156,500,1406.55927
522.410859,159,1406.996899
1629.488537,500,1408.628576
1387.197355,500,1411.706035
1623.855895,500,1413.202467
1397.588636,500,1414.985806
916.375403,346,1422.130776
2038.934055,500,1425.391818
2025.298007,500,1427.025086
465.251205,162,1427.531296
1957.258373,500,1429.120311
988.498282,320,1430.215023
908.264461,284,1430.987533
1825.656147,500,1434.278921
861.11534,500,1435.790788
2287.832473,500,1437.295247
1901.243961,500,1438.823738
1757.902265,500,1442.192785
1058.018218,337,1443.267155
660.706165,231,1444.005245
548.056253,191,1444.616259
1693.625061,500,1446.248033
1265.030083,345,1447.22939
1642.342909,500,1450.646693
-11.291147,33,1450.720128
42.685422,55,1450.847308
2077.77406,500,1452.340301
1349.640796,482,1453.720844
522.995294,212,1454.417861
1813.040582,500,1457.375437
2026.507734,500,1458.94223
510.816934,161,1459.369527
1536.507357,500,1460.892444
2124.217385,500,1462.502223
641.683546,189,1463.091075
2041.544357,500,1466.424047
1482.979198,374,1467.61796
1944.662503,500,1469.237529
1619.402892,478,1470.765259
368.061395,138,1471.114944
1824.962077,500,1474.293935
953.090565,289,1475.171372
2124.208083,500,1476.83177
1738.704884,500,1478.504125
1818.069771,488,1481.736912
1715.368227,500,1483.365489
1974.783536,500,1485.040444
525.60104,203,1485.652067
1906.691143,500,1487.165683
2021.094866,500,1490.631282
1005.881641,378,1491.593794
1893.703055,500,1493.017997
2009.124269,500,1494.702012
1100.281889,347,1495.756986
1901.077282,500,1498.988728
979.443377,289,1499.999576
1266.466331,453,1501.213344
509.01507,179,1501.815493
1721.111584,500,1503.178513
1888.651394,500,1506.381331
979.314871,500,1507.66066
254.656425,110,1508.000907
751.050083,276,1508.973061
1249.494767,344,1510.143756
534.538354,220,1510.803557
1754.443713,500,1514.083272
1179.222249,500,1515.630552
632.432291,322,1516.683278
1808.191958,500,1518.167919
1954.760007,500,1528.297335
1712.816787,500,1529.733975
945.88004,471,1531.014835
1921.588642,500,1532.452902
1697.204048,500,1534.046433
1808.594293,500,1537.144245
814.251853,270,1538.022168
440.590874,251,1538.775408
1502.977864,396,1540.074621
1061.547738,333,1541.019407
1601.906804,500,1544.115315
1661.400164,500,1545.538543
1499.467664,500,1547.249915
1452.899352,500,1548.828202
1949.651502,500,1552.217302
1790.578871,500,1553.724885
1330.984427,372,1554.937463
1789.459572,480,1556.55787
2017.216059,500,1557.949558
945.903642,500,1560.997962
1814.0807,500,1562.497288
2054.667614,500,1564.050519
1331.972954,500,1565.476499
1972.234492,500,1568.863103
1829.872734,500,1570.531942
1525.40069,500,1572.063452
499.807663,186,1572.647198
1522.152576,500,1574.111926
1743.36754,500,1577.362886
1780.977733,500,1579.053778
902.20072,500,1580.603102
2031.328949,500,1582.195386
1991.901534,500,1585.661999
2004.994724,500,1587.178141
1430.12928,371,1588.508837
1787.280674,500,1590.13162
1882.929071,500,1593.447906
59.74107,83,1593.70279
1529.536007,500,1595.165851
2030.827896,500,1596.870126
2154.734833,500,1598.491761
244.630304,141,1598.850408
367.789842,140,1601.093392
1432.107104,500,1602.66098
1546.644956,500,1604.408621
708.403032,207,1605.046336
386.568763,188,1605.547169
1559.430061,500,1607.113125
1649.168913,486,1610.338804
1368.088275,500,1611.875776
550.249463,188,1612.48957
2050.358195,500,1614.066186
1466.817963,374,1615.116671
1048.54907,291,1617.829325
880.256711,305,1618.756941
1994.475376,500,1620.401611
1371.005019,500,1621.730553
927.178535,271,1622.612702
1911.977082,500,1630.989047
1374.812561,500,1632.489173
1229.347303,325,1633.476561
1783.739719,500,1635.058641
1959.347903,500,1638.331332
2165.78693,500,1639.814262
1824.728088,500,1641.485097
2096.704049,500,1643.236061
1039.394457,319,1644.287508
2102.513699,500,1647.442854
1874.418445,500,1649.067113
1825.350295,500,1650.750319
2205.414882,500,1652.369495
1417.604363,500,1655.568045
683.037991,219,1656.300387
282.711582,146,1656.654224
626.667291,197,1657.214251
1858.144483,500,1658.735063
157.989121,82,1658.925516
965.68901,326,1659.977379
945.875032,275,1660.819588
1636.279542,500,1664.100637
552.771617,190,1664.715906
1514.560093,445,1666.105039
1781.670528,500,1667.447468
915.320709,258,1668.312019
1022.392537,354,1671.090874
844.399052,299,1672.122143
1828.651401,500,1673.724734
1326.468389,427,1675.022593
1898.71477,500,1676.797009
928.78864,500,1680.051462
1869.364851,500,1681.49792
2037.564497,500,1683.197204
1832.071688,500,1684.819793
383.828829,158,1685.221396
927.942719,346,1688.120958
1808.482045,500,1689.648474
1818.946809,500,1691.074187
1432.05795,500,1692.768296
1382.163238,500,1695.706628
1445.204953,500,1697.076344
882.885142,398,1698.36041
1677.238949,500,1699.763731
1878.432005,500,1703.006617
832.791726,292,1703.914571
1247.64638,500,1705.225894
663.525932,233,1706.097341
1869.316712,500,1707.53683
1726.58706,500,1710.793283
612.250171,213,1711.357584
565.40693,170,1711.979332
277.708422,119,1712.355302
850.35919,259,1713.077661
1293.871841,500,1714.677273
723.153439,500,1716.206571
2039.764092,500,1719.473985
1484.254508,500,1721.166031
549.45875,182,1721.772089
370.877379,125,1722.201393
817.308261,275,1723.061072
1776.090318,500,1724.732262
1203.611166,349,1727.394528
681.2004,223,1728.189347
715.675785,212,1728.826764
276.204403,169,1735.375107
852.928198,349,1736.66627
1743.57996,500,1738.043121
727.193533,213,1738.694029
1666.621878,500,1741.855674
1378.476792,483,1743.28231
858.783076,247,1744.211803
1756.531553,500,1745.646504
360.046588,149,1746.20429
1750.710656,500,1749.102425
1421.269966,500,1750.681592
1878.172219,500,1752.180445
1943.931872,500,1753.598477
1510.096781,500,1756.80096
1367.27293,388,1758.077506
1675.114452,500,1759.508646
1505.256335,500,1761.040718
1406.95283,500,1762.543061
346.875446,138,1764.565498
778.87638,226,1765.136024
1287.465519,500,1766.793924
1734.573929,500,1768.35622
396.107905,234,1769.060525
2012.87764,500,1770.787501
1332.258381,500,1773.992879
1515.969907,500,1775.460951
1283.6258,500,1777.06249
640.139574,202,1777.6778
-30.966241,26,1777.740289
671.582936,215,1778.513778
1234.97768,388,1781.394983
2024.317914,500,1783.032773
1584.313397,500,1784.656491
1870.346839,500,1786.086809
2038.31101,500,1789.423424
1027.074568,310,1790.417793
1024.985978,427,1791.650037
1804.645803,500,1793.174797
367.214498,142,1793.658586
417.256196,176,1794.256821
1734.018185,500,1797.312154
419.724795,158,1797.836972
313.620681,188,1798.408996
1159.746016,500,1799.647846
399.231776,141,1800.161522
564.145272,184,1800.718534
746.952171,500,1802.296896
409.944953,160,1802.797427
366.106235,137,1804.888139
895.73191,287,1805.696077
1237.418797,404,1807.073392
1829.034894,500,1808.643031
1362.983007,359,1809.720635
107.319815,132,1810.110004
